Name,HP,Str,Mag,Skl,Spd,Lck,Def,Res
Great Lord M,80,43,30,40,41,45,42,40
Great Lord F,80,40,30,42,44,45,40,40
Grandmaster,80,40,40,40,40,45,40,40
Paladin,80,42,30,40,40,45,42,42
Great Knight,80,48,20,34,37,45,48,30
General,80,50,30,41,35,45,50,35
Swordmaster,80,38,34,44,46,45,33,38
Hero,80,42,30,46,42,45,40,36
Warrior,80,48,30,42,40,45,40,35
Beserker,80,50,30,35,44,45,34,30
Sniper,80,41,30,48,40,45,40,31
Bow Knight,80,40,30,43,41,45,35,30
Assassin,80,40,30,48,46,45,31,30
Trickster,80,35,38,45,43,45,30,40
Falcon Knight,80,38,35,45,44,45,33,40
Dark Flier,80,36,42,41,42,45,32,41
Wyvern Lord,80,46,30,38,38,45,46,30
Griffen Rider,80,40,30,43,41,45,40,30
Sage,80,30,46,43,42,45,31,40
Sorcerer,80,30,44,38,40,45,41,44
Dark Knight,80,38,41,40,40,45,42,38
War Cleric,80,40,40,38,41,45,38,43
Valkyrie,80,30,42,38,43,45,30,45
Manakete,80,40,35,35,35,45,40,40
Taguel,80,35,30,40,40,45,35,30
